"","Field","row","rep","range","Experiment","Density","G","plot","plant","G.1","row.1","X","X.1","X.2","X.3","different.plane","Value","Angle_transformed","Orien","Deviation_from_90","Abs_deviation","d_acre","Time"
"193","Agronomy","M5010",1,1,"Mutants","6 inches","W22",1,1,"W22","M5010",1,0,0,0,0,87.42,87.42,90,-2.58,2.58,34000,"60DAP"
"194","Agronomy","M5010",1,1,"Mutants","6 inches","W22",1,2,"W22","M5010",2,0,0,0,0,65.078,294.922,300,24.922,24.922,34000,"60DAP"
"195","Agronomy","M5010",1,1,"Mutants","6 inches","W22",1,1,"W22","M5010",3,0,0,0,0,74.715,74.715,90,-15.285,15.285,34000,"60DAP"
"196","Agronomy","M5010",1,1,"Mutants","6 inches","W22",1,2,"W22","M5010",4,0,0,0,0,120.299,239.701,240,-30.299,30.299,34000,"60DAP"
"197","Agronomy","M5010",1,1,"Mutants","6 inches","W22",1,1,"W22","M5010",5,0,0,0,0,61.57,61.57,90,-28.43,28.43,34000,"60DAP"
"198","Agronomy","M5010",1,1,"Mutants","6 inches","W22",1,2,"W22","M5010",6,0,0,0,0,47.06,312.94,330,42.94,42.94,34000,"60DAP"
"199","Agronomy","M5010",1,1,"Mutants","6 inches","W22",1,1,"W22","M5010",7,0,0,0,0,119.436,119.436,120,29.436,29.436,34000,"60DAP"
"200","Agronomy","M5010",1,1,"Mutants","6 inches","W22",1,2,"W22","M5010",8,0,0,0,0,35.689,324.311,330,54.311,54.311,34000,"60DAP"
"201","Agronomy","M5010",1,1,"Mutants","6 inches","W22",1,1,"W22","M5010",9,0,0,0,0,134.245,134.245,150,44.245,44.245,34000,"60DAP"
"202","Agronomy","M5010",1,1,"Mutants","6 inches","W22",1,2,"W22","M5010",10,0,0,0,0,84.399,275.601,300,5.601,5.601,34000,"60DAP"
"203","Agronomy","M5010",1,1,"Mutants","6 inches","W22",1,1,"W22","M5010",11,0,0,0,0,25.248,25.248,30,-64.752,64.752,34000,"60DAP"
"204","Agronomy","M5010",1,1,"Mutants","6 inches","W22",1,2,"W22","M5010",12,0,0,0,1,145.314,145.314,150,55.314,55.314,34000,"60DAP"
"205","Agronomy","M5010",1,1,"Mutants","6 inches","W22",2,1,"W22","M5010",13,0,0,0,0,125.994,125.994,150,35.994,35.994,34000,"60DAP"
"206","Agronomy","M5010",1,1,"Mutants","6 inches","W22",2,2,"W22","M5010",14,0,0,0,0,73.66,286.34,300,16.34,16.34,34000,"60DAP"
"207","Agronomy","M5010",1,1,"Mutants","6 inches","W22",2,1,"W22","M5010",15,0,0,0,0,55.989,55.989,60,-34.011,34.011,34000,"60DAP"
"208","Agronomy","M5010",1,1,"Mutants","6 inches","W22",2,2,"W22","M5010",16,0,0,0,0,47.657,312.343,330,42.343,42.343,34000,"60DAP"
"209","Agronomy","M5010",1,1,"Mutants","6 inches","W22",2,1,"W22","M5010",17,0,0,0,0,123.738,123.738,150,33.738,33.738,34000,"60DAP"
"210","Agronomy","M5010",1,1,"Mutants","6 inches","W22",2,2,"W22","M5010",18,0,0,0,0,117.805,242.195,270,-27.805,27.805,34000,"60DAP"
"211","Agronomy","M5010",1,1,"Mutants","6 inches","W22",2,1,"W22","M5010",19,0,0,0,0,24.534,24.534,30,-65.466,65.466,34000,"60DAP"
"212","Agronomy","M5010",1,1,"Mutants","6 inches","W22",2,2,"W22","M5010",20,0,0,0,0,152.161,207.839,210,-62.161,62.161,34000,"60DAP"
"213","Agronomy","M5010",1,1,"Mutants","6 inches","W22",2,1,"W22","M5010",21,0,0,0,0,62.639,62.639,90,-27.361,27.361,34000,"60DAP"
"214","Agronomy","M5010",1,1,"Mutants","6 inches","W22",2,2,"W22","M5010",22,0,0,0,0,106.07,253.93,270,-16.07,16.07,34000,"60DAP"
"215","Agronomy","M5010",1,1,"Mutants","6 inches","W22",2,1,"W22","M5010",23,0,0,0,0,74.447,74.447,90,-15.553,15.553,34000,"60DAP"
"216","Agronomy","M5010",1,1,"Mutants","6 inches","W22",2,2,"W22","M5010",24,0,0,0,0,119.061,240.939,270,-29.061,29.061,34000,"60DAP"
"529","Agronomy","M5025",2,2,"Mutants","6 inches","W22",1,1,"W22","M5025",1,0,0,0,0,51.963,51.963,60,-38.037,38.037,34000,"60DAP"
"530","Agronomy","M5025",2,2,"Mutants","6 inches","W22",1,2,"W22","M5025",2,0,0,0,0,91.056,268.944,270,-1.056,1.056,34000,"60DAP"
"531","Agronomy","M5025",2,2,"Mutants","6 inches","W22",1,1,"W22","M5025",3,0,0,0,0,71.464,71.464,90,-18.536,18.536,34000,"60DAP"
"532","Agronomy","M5025",2,2,"Mutants","6 inches","W22",1,2,"W22","M5025",4,0,0,0,0,72.984,287.016,300,17.016,17.016,34000,"60DAP"
"533","Agronomy","M5025",2,2,"Mutants","6 inches","W22",1,1,"W22","M5025",5,0,0,0,0,66.841,66.841,90,-23.159,23.159,34000,"60DAP"
"534","Agronomy","M5025",2,2,"Mutants","6 inches","W22",1,2,"W22","M5025",6,0,0,0,0,115.462,244.538,270,-25.462,25.462,34000,"60DAP"
"535","Agronomy","M5025",2,2,"Mutants","6 inches","W22",1,1,"W22","M5025",7,0,0,0,0,85.9,85.9,90,-4.1,4.1,34000,"60DAP"
"536","Agronomy","M5025",2,2,"Mutants","6 inches","W22",1,2,"W22","M5025",8,0,0,0,0,88.706,271.294,300,1.294,1.294,34000,"60DAP"
"537","Agronomy","M5025",2,2,"Mutants","6 inches","W22",1,1,"W22","M5025",9,0,0,0,0,68.594,68.594,90,-21.406,21.406,34000,"60DAP"
"538","Agronomy","M5025",2,2,"Mutants","6 inches","W22",1,2,"W22","M5025",10,0,0,0,0,89.771,270.229,300,0.229,0.229,34000,"60DAP"
"539","Agronomy","M5025",2,2,"Mutants","6 inches","W22",1,1,"W22","M5025",11,0,0,0,0,49.619,49.619,60,-40.381,40.381,34000,"60DAP"
"540","Agronomy","M5025",2,2,"Mutants","6 inches","W22",1,2,"W22","M5025",12,0,0,0,0,141.398,218.602,240,-51.398,51.398,34000,"60DAP"
"541","Agronomy","M5025",2,2,"Mutants","6 inches","W22",2,1,"W22","M5025",13,0,0,0,0,90.219,90.219,120,0.219,0.219,34000,"60DAP"
"542","Agronomy","M5025",2,2,"Mutants","6 inches","W22",2,2,"W22","M5025",14,0,0,0,0,101.976,258.024,270,-11.976,11.976,34000,"60DAP"
"543","Agronomy","M5025",2,2,"Mutants","6 inches","W22",2,1,"W22","M5025",15,0,0,0,0,87.566,87.566,90,-2.434,2.434,34000,"60DAP"
"544","Agronomy","M5025",2,2,"Mutants","6 inches","W22",2,2,"W22","M5025",16,0,0,0,0,124.453,235.547,240,-34.453,34.453,34000,"60DAP"
"545","Agronomy","M5025",2,2,"Mutants","6 inches","W22",2,1,"W22","M5025",17,0,0,0,0,24.439,24.439,30,-65.561,65.561,34000,"60DAP"
"546","Agronomy","M5025",2,2,"Mutants","6 inches","W22",2,2,"W22","M5025",18,0,0,0,0,73.153,286.847,300,16.847,16.847,34000,"60DAP"
"547","Agronomy","M5025",2,2,"Mutants","6 inches","W22",2,1,"W22","M5025",19,0,0,0,0,73.842,73.842,90,-16.158,16.158,34000,"60DAP"
"548","Agronomy","M5025",2,2,"Mutants","6 inches","W22",2,2,"W22","M5025",20,0,0,0,0,71.081,288.919,300,18.919,18.919,34000,"60DAP"
"549","Agronomy","M5025",2,2,"Mutants","6 inches","W22",2,1,"W22","M5025",21,0,0,0,0,79.606,79.606,90,-10.394,10.394,34000,"60DAP"
"550","Agronomy","M5025",2,2,"Mutants","6 inches","W22",2,2,"W22","M5025",22,0,0,0,0,70.948,289.052,300,19.052,19.052,34000,"60DAP"
"551","Agronomy","M5025",2,2,"Mutants","6 inches","W22",2,1,"W22","M5025",23,0,0,0,0,80.846,80.846,90,-9.154,9.154,34000,"60DAP"
"552","Agronomy","M5025",2,2,"Mutants","6 inches","W22",2,2,"W22","M5025",24,0,0,0,0,131.223,228.777,240,-41.223,41.223,34000,"60DAP"
"697","Agronomy","M7007",1,5,"Mutants","30 inches","W22",1,1,"W22","M7007",1,0,0,0,0,127.785,127.785,150,37.785,37.785,8000,"60DAP"
"698","Agronomy","M7007",1,5,"Mutants","30 inches","W22",1,2,"W22","M7007",2,0,0,0,0,126.098,233.902,240,-36.098,36.098,8000,"60DAP"
"699","Agronomy","M7007",1,5,"Mutants","30 inches","W22",1,1,"W22","M7007",3,0,0,0,0,13.209,13.209,30,-76.791,76.791,8000,"60DAP"
"700","Agronomy","M7007",1,5,"Mutants","30 inches","W22",1,2,"W22","M7007",4,0,0,0,0,169.081,190.919,210,-79.081,79.081,8000,"60DAP"
"701","Agronomy","M7007",1,5,"Mutants","30 inches","W22",1,1,"W22","M7007",5,0,0,0,0,147.16,147.16,150,57.16,57.16,8000,"60DAP"
"702","Agronomy","M7007",1,5,"Mutants","30 inches","W22",1,2,"W22","M7007",6,0,0,0,0,47.236,312.764,330,42.764,42.764,8000,"60DAP"
"703","Agronomy","M7007",1,5,"Mutants","30 inches","W22",1,1,"W22","M7007",7,0,0,0,0,126.812,126.812,150,36.812,36.812,8000,"60DAP"
"704","Agronomy","M7007",1,5,"Mutants","30 inches","W22",1,2,"W22","M7007",8,0,0,0,0,78.843,281.157,300,11.157,11.157,8000,"60DAP"
"705","Agronomy","M7007",1,5,"Mutants","30 inches","W22",1,1,"W22","M7007",9,0,0,0,0,16.601,16.601,30,-73.399,73.399,8000,"60DAP"
"706","Agronomy","M7007",1,5,"Mutants","30 inches","W22",1,2,"W22","M7007",10,0,0,0,0,154.792,205.208,210,-64.792,64.792,8000,"60DAP"
"707","Agronomy","M7007",1,5,"Mutants","30 inches","W22",1,1,"W22","M7007",11,0,0,0,0,26.786,26.786,30,-63.214,63.214,8000,"60DAP"
"708","Agronomy","M7007",1,5,"Mutants","30 inches","W22",1,2,"W22","M7007",12,0,0,0,0,159.17,200.83,210,-69.17,69.17,8000,"60DAP"
"709","Agronomy","M7007",1,5,"Mutants","30 inches","W22",2,1,"W22","M7007",13,0,0,0,0,109.629,109.629,120,19.629,19.629,8000,"60DAP"
"710","Agronomy","M7007",1,5,"Mutants","30 inches","W22",2,2,"W22","M7007",14,0,0,0,0,154.512,205.488,210,-64.512,64.512,8000,"60DAP"
"711","Agronomy","M7007",1,5,"Mutants","30 inches","W22",2,1,"W22","M7007",15,0,0,0,1,178.427,181.573,210,-88.427,88.427,8000,"60DAP"
"712","Agronomy","M7007",1,5,"Mutants","30 inches","W22",2,2,"W22","M7007",16,0,0,0,0,24.536,335.464,360,65.464,65.464,8000,"60DAP"
"713","Agronomy","M7007",1,5,"Mutants","30 inches","W22",2,1,"W22","M7007",17,0,0,0,0,162.041,162.041,180,72.041,72.041,8000,"60DAP"
"714","Agronomy","M7007",1,5,"Mutants","30 inches","W22",2,2,"W22","M7007",18,0,0,0,0,61.716,298.284,300,28.284,28.284,8000,"60DAP"
"715","Agronomy","M7007",1,5,"Mutants","30 inches","W22",2,1,"W22","M7007",19,0,0,0,0,129.513,129.513,150,39.513,39.513,8000,"60DAP"
